,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
0,05/15/2023 18:16:23.891172,239,True,True,True,True,Eyes,0.2501568,0.1852298,-2.182248,0.8424449,-0.02390244,-0.5382521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.043942,-0.550269,-1.632815,0.4395587,0.1674779,-1.958937,-0.01669806,0.9187649,-0.09510764,0.3828143,9.321761,134.2695,353.9794,0.07904814,0.08314815,-0.9933965,0.0,0.0,0.0,0.782874,0.2628589,-2.600954,0.1232003,0.104953,0.8207411,-0.7063488,-0.1035003,-0.7002565,0.04213395,0.9813514,-0.1875477,0.706609,-0.1619786,-0.6888155,moving,-12.536496868716425,6.6445701336522704,8.536851084936606,7.28719994288482,0.3433152999999999,0.095381,-0.6420170000000003,-0.2156715137898521,0.1129867406665763,0.9699071367411992,-11.672147084152884,7.029966625005767,20.93357142853852,21.083144145203928,20.210635219559265
1,05/15/2023 18:16:23.911292,240,True,True,True,True,Eyes,0.2587193,0.1843233,-2.172977,0.8342366,-0.02518761,-0.550831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999838,-0.5393171,-1.65558,0.4514973,0.165964,-1.949381,-0.01816259,0.9222561,-0.09275212,0.374848,9.059843,135.2868,354.0109,0.08249668,0.0832408,-0.9931083,0.0,0.0,0.0,0.7878636,0.2582897,-2.600797,0.1235936,0.09944956,0.8271015,-0.7183183,-0.103037,-0.6880425,0.03603477,0.9821343,-0.1846988,0.6947809,-0.157466,-0.7017722,moving,-12.645331854261403,6.297535682194535,8.498810993378818,6.856252033575283,0.3363663,0.0923257,-0.651416,-0.2176570558249452,0.1070617341361834,0.9701356101965546,-11.78425490422309,6.697585861073518,21.01770495620939,21.1515233664792,20.28368647856592
2,05/15/2023 18:16:23.931429,241,True,True,True,True,Eyes,0.2674072,0.1834326,-2.163684,0.8259653,-0.02660562,-0.5630928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9577581,-0.5246973,-1.676531,0.4636709,0.1639592,-1.939457,-0.0187947,0.9255298,-0.0897646,0.3674011,8.763094,136.2488,354.1491,0.08603323,0.08331475,-0.992802,0.0,0.0,0.0,0.7904003,0.2559666,-2.600717,0.1235308,0.09633381,0.8310035,-0.7293262,-0.1007493,-0.6767071,0.03116911,0.9831782,-0.17997,0.6834555,-0.1523492,-0.7139174,moving,-12.696762556499126,5.936688225206472,8.455247095067921,6.612479314021725,0.3267293999999999,0.0920073999999999,-0.66126,-0.218668810646405,0.1009263737358204,0.9705657399509516,-11.84003742186065,6.351061532181529,21.041380817168704,21.162802411205085,20.29696807111207
3,05/15/2023 18:16:23.941360,242,True,True,True,True,Eyes,0.2762392,0.1826277,-2.154407,0.8174475,-0.02807102,-0.5753188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9166211,-0.5269528,-1.690875,0.475329,0.1634425,-1.929839,-0.01848413,0.9281873,-0.09093478,0.3603577,8.945055,137.1096,354.1986,0.08965828,0.0833724,-0.9924763,0.0,0.0,0.0,0.7929429,0.2536383,-2.600637,0.1245277,0.09466656,0.8343118,-0.7396016,-0.09985156,-0.6655971,0.03122463,0.9827784,-0.1821308,0.6723205,-0.1554872,-0.7237466,moving,-12.709951392398416,6.042846771253165,8.489182411688539,6.47347326177861,0.3176139,0.0901957999999999,-0.6707979999999998,-0.2188518313350572,0.1027201642945504,0.9703363142859912,-11.851510798372976,6.453425507203157,21.081784494257555,21.203507097127225,20.340703089576483
4,05/15/2023 18:16:23.969478,243,True,True,True,True,Eyes,0.2852048,0.1819483,-2.145124,0.8087283,-0.02969314,-0.5874325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8688999,-0.5322219,-1.70786,0.4878118,0.1647315,-1.92092,-0.02003126,0.9312283,-0.0922028,0.3520106,9.068852,138.1145,354.0584,0.09337191,0.08341891,-0.9921299,0.0,0.0,0.0,0.7955729,0.2512298,-2.600554,0.1259752,0.09187196,0.8375246,-0.7513748,-0.1022201,-0.6519105,0.02760537,0.9821948,-0.1858261,0.6592984,-0.1576213,-0.7351747,moving,-12.875829169802564,6.023224698548632,8.553947622366742,6.260011280473973,0.3077611,0.0864983,-0.6796339999999998,-0.2216693058066586,0.1023210878835256,0.9697387285644132,-12.015119120184236,6.436996220404327,21.312086972204188,21.43108492931653,20.569828155054648
5,05/15/2023 18:16:23.981106,244,True,True,True,True,Eyes,0.2943202,0.1813255,-2.135838,0.7997251,-0.03132966,-0.5995483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8159428,-0.5394062,-1.724988,0.5000363,0.1670893,-1.911634,-0.02163534,0.9346066,-0.09380549,0.3424079,9.237439,139.2655,353.912,0.09717469,0.0834609,-0.9917612,0.0,0.0,0.0,0.7980943,0.2489209,-2.600474,0.1274748,0.08857796,0.840224,-0.7645778,-0.1046805,-0.6359743,0.02379843,0.9814649,-0.1901587,0.6440924,-0.1605262,-0.747915,moving,-13.183552360686887,6.028971513746857,8.626855747060835,6.017997981241979,0.298058,0.0818316,-0.6888400000000001,-0.2268749939194748,0.1022925165346441,0.9685370025939448,-12.318031577995193,6.447081970008679,21.69318491193888,21.81041086831982,20.94928204327558
6,05/15/2023 18:16:24.001444,245,True,True,True,True,Eyes,0.303576,0.1808681,-2.126533,0.7905813,-0.03344516,-0.6114432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7656962,-0.5393268,-1.741448,0.5129595,0.1678256,-1.902239,-0.02095318,0.9379072,-0.09417332,0.3332003,9.362979,140.3972,354.0627,0.1010678,0.08350117,-0.9913687,0.0,0.0,0.0,0.8006337,0.2465954,-2.600394,0.1293083,0.08631728,0.8426081,-0.7770772,-0.1020614,-0.6210755,0.02345287,0.9813848,-0.1906149,0.6289684,-0.1626884,-0.7602181,moving,-13.43813067878808,6.033874177731414,8.72465792840509,5.849011029372139,0.2876742,0.0787698,-0.6981550000000001,-0.2311767589595402,0.1022690125126722,0.9675218409214342,-12.568627879537871,6.4555686439730975,22.04705545287125,22.1635595794257,21.3019232145498
7,05/15/2023 18:16:24.011519,246,True,True,True,True,Eyes,0.3129832,0.1805258,-2.117274,0.7812208,-0.03541256,-0.6232495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7223347,-0.5569938,-1.748206,0.5252185,0.1712065,-1.8929,-0.01764648,0.940161,-0.09865788,0.3256569,10.02135,141.2912,354.3214,0.1050517,0.08354733,-0.9909506,0.0,0.0,0.0,0.8031995,0.2442457,-2.600313,0.1313808,0.08364055,0.8445756,-0.7872724,-0.09743831,-0.6088579,0.03107617,0.9799104,-0.197002,0.6158218,-0.1740152,-0.7684284,moving,-13.508624045819394,6.633179605105045,8.841971762504427,5.655710930735365,0.2779809999999999,0.0730392,-0.7074129999999998,-0.2321125704757029,0.1123576155451855,0.9661777516921024,-12.629497719477625,7.033393617660383,22.242267300718456,22.371959636930253,21.51562249393541
8,05/15/2023 18:16:24.031269,247,True,True,True,True,Eyes,0.322518,0.1803293,-2.10804,0.7717386,-0.03769538,-0.6348217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6783897,-0.5520756,-1.762741,0.5384319,0.1735888,-1.884732,-0.01646777,0.9429945,-0.09721968,0.3178656,9.95567,142.2725,354.5899,0.1091274,0.08360376,-0.9905053,0.0,0.0,0.0,0.8058602,0.2418092,-2.60023,0.1330963,0.08198965,0.8462415,-0.7973806,-0.09286362,-0.596289,0.03074757,0.9805543,-0.1938243,0.6026931,-0.1728862,-0.7790197,moving,-13.576960566463894,6.484112690605579,8.938221078478016,5.533933371280926,0.2674283,0.0682204,-0.7154979999999997,-0.2333316040783626,0.10981058785044,0.9661770006206696,-12.69890833844129,6.890940652149809,22.410389200220006,22.53522232514251,21.67964109861706
9,05/15/2023 18:16:24.041535,248,True,True,True,True,Eyes,0.3321941,0.1802619,-2.098863,0.7620642,-0.0400218,-0.6462635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6359327,-0.5647081,-1.769766,0.5508855,0.1770365,-1.876316,-0.01354936,0.9452066,-0.1001835,0.310426,10.42662,143.1697,354.8774,0.1132941,0.08367591,-0.9900312,0.0,0.0,0.0,0.8083366,0.2395414,-2.600152,0.1347206,0.08362793,0.8471385,-0.8069044,-0.08781303,-0.5841185,0.03658526,0.9795594,-0.1978004,0.5895482,-0.1809761,-0.787198,moving,-13.621557742091753,6.882399175410463,9.036089925589495,5.6378654864931,0.2574510999999999,0.0625048999999999,-0.7238359999999999,-0.2339039542349818,0.1165077010117706,0.9652538508741216,-12.737144505481709,7.274918330054855,22.55398229887664,22.69180164587272,21.834689821543108
