Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
05/15/2023 15:32:47.032416,182,True,True,True,True,Eyes,1.217099,-0.2547508,-3.402876,-0.5916965,0.4325636,0.6802823,1.126041,0.5508246,0.2323335,-2.636851,0.4576789,-0.8888716,0.02091084,-0.05740058,0.01179737,1.133873,1.21499,-0.2598778,-3.415128,-0.2101462,-0.3093335,-0.05933321,0.9255438,334.8046,322.7533,1.277875,0.3358604,-0.07027203,-0.9392865,0,0,0,0.5439574,0.2456706,-2.637165,-0.0628235,0.02232608,1.143086,0.8015848,0.02017957,0.5975406,0.2398414,0.9046363,-0.3522915,-0.547666,0.4257065,0.7203028,moving,-3.386581012949971,0.5591514365014976,-3.145785861019428,1.1189250276938345,-0.6710326,0.5055484,0.7779630000000002,-0.0590697762304907,0.009741838390264157,0.9982063323638842,-2.320313584970921,0.5582262079805985,0.6087055024182194,0.6093675234122827,0.9978915998005585
05/15/2023 15:32:47.052357,183,True,True,True,True,Eyes,1.217041,-0.2547704,-3.402892,-0.5918623,0.4322988,0.6803064,1.12632,0.5504143,0.2321365,-2.63665,0.4303418,-0.9020132,0.03432215,-0.05748552,0.01174149,1.134097,1.214876,-0.2599597,-3.415078,-0.2102153,-0.3092778,-0.0589522,0.9255709,334.8111,322.7504,1.323493,0.3358685,-0.0702764,-0.9392833,0,0,0,0.5482705,0.2424881,-2.637188,-0.05930945,0.02078331,1.139289,0.8017437,0.02090092,0.5973024,0.2391587,0.9046684,-0.352673,-0.5477318,0.4256034,0.7203135,moving,-3.390484670338369,0.5517156876736887,-2.980030866838814,1.045093809661725,-0.6666055000000001,0.5024478,0.7778899999999997,-0.0591378599839561,0.009612254014685656,0.9982035617112198,-2.32441988873281,0.5513050631042828,0.6414198647303008,0.641789915832037,0.8207637180333212
05/15/2023 15:32:47.062072,184,True,True,True,True,Eyes,1.216912,-0.2547953,-3.402958,-0.591935,0.4320478,0.6804026,1.115206,0.5567825,0.227027,-2.644169,0.2999575,-0.8334548,-0.4640889,-0.05675507,0.01222244,1.122951,1.214787,-0.2598478,-3.415124,-0.2098544,-0.3093204,-0.05865068,0.9256577,334.8626,322.7448,1.344629,0.3358741,-0.07028089,-0.9392809,0,0,0,0.5522839,0.2395267,-2.637209,-0.05593923,0.02001125,1.135741,0.801762,0.02124362,0.5972658,0.2384054,0.9050424,-0.3522231,-0.5480335,0.4247904,0.7205641,moving,-3.3844034188485517,0.5881857382360695,-2.8197395439380886,1.0094216379533842,-0.6625031,0.49937450000000005,0.7779150000000001,-0.059031540270588934,0.010247695669840018,0.9982035392560679,-2.316755304473207,0.5856922063582937,0.7043128104922082,0.7044749639551109,0.6576775626018906
05/15/2023 15:32:47.081846,185,True,True,True,True,Eyes,1.216786,-0.2548217,-3.403024,-0.5920101,0.4317972,0.6804963,1.111644,0.5586813,0.2251828,-2.646555,0.1675492,-0.7651739,-0.6216399,-0.05654198,0.01200888,1.119392,1.214725,-0.259842,-3.41515,-0.2098382,-0.3093313,-0.05849632,0.9256675,334.8702,322.7401,1.362216,0.3358755,-0.07028557,-0.9392801,0,0,0,0.556168,0.2366607,-2.63723,-0.05274105,0.01851386,1.132363,0.8017847,0.02152275,0.5972254,0.2381153,0.9050922,-0.3522914,-0.5481263,0.4246703,0.7205642,moving,-3.3803794976579256,0.5806639791250123,-2.6666866424576394,0.9366886203907562,-0.6585570000000001,0.4965027,0.77792,-0.05896151282798512,0.010116693651046477,0.9982089897702515,-2.313296056366167,0.5784218489409835,0.7975070769487823,0.7975656943176143,0.5032295558322444
05/15/2023 15:32:47.102118,186,True,True,True,True,Eyes,1.216621,-0.254851,-3.403114,-0.5920509,0.431583,0.6805968,1.108832,0.560136,0.223702,-2.648447,-0.004132237,-0.665617,-0.746282,-0.05634037,0.01201829,1.116641,1.21466,-0.2599053,-3.415211,-0.2097606,-0.3093593,-0.05834937,0.9256849,334.8844,322.7345,1.376856,0.335873,-0.07029048,-0.9392806,0,0,0,0.5601979,0.2336871,-2.637252,-0.04938757,0.01712811,1.128912,0.8017843,0.02175654,0.5972174,0.2378091,0.9051917,-0.3522426,-0.5482598,0.4244463,0.7205946,moving,-3.3735872648260767,0.5817129805730029,-2.5049748384307535,0.8692379228066204,-0.6544621,0.49359240000000004,0.7779590000000001,-0.05884317178393611,0.010135041111832499,0.9982158686006339,-2.306756815799445,0.5791875422947085,0.9149524644448217,0.9149634635846482,0.35131126900651916
05/15/2023 15:32:47.122016,187,True,True,True,True,Eyes,1.216463,-0.2548797,-3.403203,-0.5921,0.4313765,0.6806849,1.107213,0.5608821,0.2227458,-2.649541,-0.2249696,-0.5297294,-0.8177868,-0.05612412,0.01213393,1.114968,1.214543,-0.2599074,-3.415193,-0.2096686,-0.3094181,-0.05812045,0.9257005,334.9033,322.7234,1.401309,0.335866,-0.07029563,-0.9392827,0,0,0,0.5642567,0.2306922,-2.637273,-0.04591602,0.01580814,1.125327,0.8017648,0.02214628,0.5972292,0.2373548,0.9053221,-0.3522137,-0.548485,0.4241478,0.720599,moving,-3.3623183400692387,0.5883282151176633,-2.3365081165424093,0.8048150741641331,-0.6502862999999999,0.4905996,0.77792,-0.05864676891342435,0.010250410680180233,0.9982261834960866,-2.29565931680553,0.5850817688016029,1.048401485243229,1.0484050623837953,0.223497986401414
05/15/2023 15:32:47.132191,188,True,True,True,True,Eyes,1.216307,-0.2549082,-3.403289,-0.5921734,0.4311961,0.6807353,1.10818,0.5600716,0.222935,-2.648911,-0.5454509,-0.320541,-0.7744268,-0.05597964,0.01188266,1.116026,1.214543,-0.2599243,-3.415269,-0.2096947,-0.3095593,-0.05804001,0.9256525,334.9036,322.7026,1.415853,0.335855,-0.070301,-0.9392862,0,0,0,0.5682535,0.2277431,-2.637295,-0.04237333,0.01408467,1.121944,0.8016087,0.02237615,0.5974302,0.2372757,0.905319,-0.3522753,-0.5487474,0.4241425,0.7204023,moving,-3.3453468050319652,0.5771326755990925,-2.162906180453331,0.7192424553855032,-0.6462895,0.4876674,0.7779739999999999,-0.058351196114699855,0.010055532187158517,0.9982454533696998,-2.280023706977026,0.5738896664518511,1.1909306734114158,1.190949629566613,0.1866653376227608
05/15/2023 15:32:47.152431,189,True,True,True,True,Eyes,1.216157,-0.2549307,-3.403371,-0.5922447,0.4310199,0.6807849,1.108888,0.5594237,0.223022,-2.648457,-0.5888474,-0.3148319,-0.7444056,-0.05594289,0.01188877,1.116702,1.21451,-0.2599308,-3.415213,-0.2096424,-0.3096689,-0.05791745,0.9256354,334.9142,322.6865,1.43107,0.3358405,-0.07030657,-0.939291,0,0,0,0.5725018,0.2246084,-2.637318,-0.03876811,0.01250151,1.118219,0.8015015,0.02261855,0.597565,0.2370604,0.9053913,-0.3522343,-0.5489972,0.4239752,0.7203104,moving,-3.332239418928822,0.5766986074136995,-1.985621565935112,0.640530987479286,-0.6420082,0.48453920000000006,0.777895,-0.05812283495311571,0.010048103936635105,0.9982588795529953,-2.2675297590486005,0.5730354480226244,1.3480821897743966,1.3481298953536436,0.2898756236579022
05/15/2023 15:32:47.162677,190,True,True,True,True,Eyes,1.21599,-0.2549548,-3.403467,-0.5923344,0.4308487,0.6808152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073616,-1.255039,3.237053,1.214502,-0.2598076,-3.415226,-0.2095558,-0.3097011,-0.05802634,0.9256374,334.9198,322.6865,1.415696,0.335823,-0.07031214,-0.9392968,0,0,0,0.5767094,0.2215037,-2.63734,-0.03546765,0.01068038,1.114529,0.8014364,0.02237663,0.5976614,0.237222,0.9054386,-0.3520037,-0.5490224,0.423887,0.7203432,moving,-3.335544206358939,0.5706578136477457,-1.8227081428886676,0.5490408655683475,-0.6377925999999999,0.4813113,0.7778860000000001,-0.05818047395788628,0.009942822077244201,0.9982565567053721,-2.2709931552002978,0.5674172234664844,1.51290874728649,1.5129904981130895,0.4486615013491116
05/15/2023 15:32:47.181885,191,True,True,True,True,Eyes,1.215829,-0.2549829,-3.403558,-0.592418,0.4306816,0.6808482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.074098,-1.256477,3.236348,1.214486,-0.2598204,-3.415244,-0.2097676,-0.3097579,-0.05805244,0.9255687,334.8954,322.6756,1.423236,0.3358023,-0.07031775,-0.9393038,0,0,0,0.580515,0.2186956,-2.637361,-0.03228915,0.008580834,1.111252,0.8013599,0.02249128,0.5977595,0.2374174,0.905255,-0.3523441,-0.5490494,0.424273,0.7200952,moving,-3.3291802235658263,0.5356719726304584,-1.664349429629218,0.4424161231408105,-0.633971,0.478516,0.7778830000000001,-0.05806993648546244,0.009333326978615553,0.99826888673838,-2.266698359233555,0.5340177336115591,1.6673400563248957,1.6674406214026434,0.6092742305697205
05/15/2023 15:32:47.202131,192,True,True,True,True,Eyes,1.215647,-0.2550142,-3.403668,-0.5924881,0.4305062,0.6808982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073445,-1.256364,3.236589,1.214481,-0.2599445,-3.415217,-0.209766,-0.3096845,-0.05795081,0.9256001,334.8992,322.6829,1.432855,0.335779,-0.07032351,-0.9393117,0,0,0,0.5845686,0.2157046,-2.637382,-0.02925411,0.007050663,1.107769,0.8014744,0.02264398,0.5976003,0.2372011,0.9052799,-0.3524258,-0.5489758,0.4242117,0.7201875,moving,-3.337262330377224,0.5293798402196689,-1.5127229226317693,0.3646678845731898,-0.6299123999999999,0.47564910000000005,0.777835,-0.0582108131692341,0.009223623247774898,0.9982617500674107,-2.274736352786306,0.5283223896995686,1.8318341517229826,1.8319590821710574,0.7793890330149909
05/15/2023 15:32:47.222228,193,True,True,True,True,Eyes,1.215476,-0.2550389,-3.403775,-0.5925463,0.4303522,0.6809449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073437,-1.255279,3.23705,1.214546,-0.2599762,-3.415227,-0.2096146,-0.3097134,-0.05780642,0.9256337,334.9215,322.6787,1.444099,0.3357526,-0.07032947,-0.9393207,0,0,0,0.5886567,0.212688,-2.637404,-0.02601954,0.005738527,1.104286,0.801472,0.0228258,0.5975965,0.2368561,0.9054402,-0.3522459,-0.5491282,0.4238596,0.7202786,moving,-3.334118944464681,0.5423735089884489,-1.349771733065515,0.2977402757305878,-0.6258892999999999,0.4726642,0.7778229999999997,-0.058155922909501,0.009450041365052453,0.9982628290551958,-2.2710729165481824,0.5405409793569985,1.9992133833648233,1.9993697192370001,0.9527581289960446
05/15/2023 15:32:47.232308,194,True,True,True,True,Eyes,1.215325,-0.2550656,-3.403866,-0.5926298,0.4301588,0.6809943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07292,-1.256591,3.236763,1.214636,-0.2598509,-3.415252,-0.2097766,-0.3096314,-0.05791725,0.9256175,334.8992,322.6888,1.435668,0.3357236,-0.07033544,-0.9393306,0,0,0,0.5926961,0.2097075,-2.637426,-0.02310994,0.003435493,1.100801,0.8015479,0.02268841,0.5975,0.2371253,0.9052787,-0.3524798,-0.5489013,0.4242118,0.7202443,moving,-3.3462502851244578,0.5079045300939374,-1.2026765519708762,0.17881398216095765,-0.6219399000000001,0.4695584,0.7778260000000001,-0.05836760115812961,0.00884937728444593,0.9982558897170069,-2.284412716613666,0.5082561329266928,2.16852218036029,2.16868829899661,1.1307896624028917
05/15/2023 15:32:47.252444,195,True,True,True,True,Eyes,1.215182,-0.2550912,-3.403955,-0.5926958,0.4299792,0.6810503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.072636,-1.256469,3.236849,1.214662,-0.2599362,-3.415184,-0.2097664,-0.3095705,-0.05811507,0.9256278,334.8928,322.7015,1.41047,0.3356931,-0.07034147,-0.939341,0,0,0,0.5967997,0.2066796,-2.637448,-0.02018636,0.001646429,1.097245,0.8015775,0.02228914,0.5974753,0.2374608,0.9052414,-0.3523499,-0.5487129,0.4243127,0.7203284,moving,-3.359409030999266,0.4892936140308125,-1.0539695062980607,0.08597292507114042,-0.6178622999999999,0.4666158,0.777736,-0.05859702836875197,0.008525006916900335,0.9982452841981214,-2.297925805805095,0.4910476044739166,2.3402772854296354,2.3404527297506834,1.3082479776313418
05/15/2023 15:32:47.271925,196,True,True,True,True,Eyes,1.215065,-0.2551149,-3.40403,-0.5927896,0.4297709,0.6811001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.071485,-1.256801,3.237186,1.21469,-0.2599401,-3.415254,-0.2097975,-0.3093883,-0.05824681,0.9256734,334.8842,322.7277,1.391178,0.3356614,-0.07034753,-0.9393519,0,0,0,0.600863,0.2036813,-2.63747,-0.01744562,-0.0002796054,1.093788,0.8017723,0.02198278,0.5972252,0.2376529,0.9051846,-0.3523662,-0.548345,0.4244497,0.7205277,moving,-3.3862431596919014,0.4676262442584633,-0.9137745607660227,-0.01464653936604749,-0.613827,0.4636214,0.777784,-0.05906472846280664,0.008147277779397749,0.9982208484555812,-2.3246530124577367,0.4714016522649017,2.5188823394636217,2.519064907956806,1.4922536145158853
05/15/2023 15:32:47.282519,197,True,True,True,True,Eyes,1.214954,-0.2551418,-3.404099,-0.592871,0.4295686,0.6811569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.069765,-1.257545,3.237507,1.214718,-0.2599452,-3.415284,-0.2098887,-0.3091489,-0.058256,0.9257323,334.8733,322.7573,1.386998,0.3356292,-0.07035358,-0.939363,0,0,0,0.6049541,0.2006626,-2.637492,-0.01476499,-0.002236098,1.090279,0.8020664,0.02191479,0.5968326,0.2376326,0.905106,-0.3525818,-0.5479236,0.4246209,0.7207475,moving,-3.415315305000338,0.4451881095865823,-0.7758747083710296,-0.11751010368900439,-0.6097638999999999,0.4606078,0.7777920000000003,-0.05957140937250216,0.007756120820777507,0.9981938774305107,-2.3535565302379995,0.4511001709930914,2.698566679301372,2.6987545168759635,1.6770204457678892
05/15/2023 15:32:47.302078,198,True,True,True,True,Eyes,1.214872,-0.2551624,-3.404148,-0.592948,0.429355,0.6812246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068706,-1.257167,3.237978,1.214774,-0.2600505,-3.415231,-0.2098399,-0.3090094,-0.05828243,0.9257881,334.8776,322.777,1.377825,0.3355969,-0.0703597,-0.9393741,0,0,0,0.6090079,0.1976714,-2.637513,-0.01200283,-0.003783911,1.086807,0.8022326,0.02177064,0.5966145,0.2375993,0.9051408,-0.3525148,-0.5476946,0.4245541,0.7209607,moving,-3.434548093980903,0.436282452748638,-0.6327559010887486,-0.1994845950835119,-0.6057661,0.4577219,0.7777179999999997,-0.05990654892681457,0.007600815990101678,0.9981750524663116,-2.3723752786188435,0.44330229662947596,2.872823417213067,2.873019183935366,1.85457557593004
05/15/2023 15:32:47.321767,199,True,True,True,True,Eyes,1.214795,-0.2551923,-3.404194,-0.5930174,0.4291447,0.6812967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.067288,-1.257236,3.238375,1.214801,-0.2599528,-3.415187,-0.2098185,-0.3087655,-0.0586443,0.9258516,334.866,322.8176,1.327749,0.3355655,-0.07036574,-0.9393848,0,0,0,0.6132272,0.1945581,-2.637536,-0.009444773,-0.005877376,1.083092,0.8024495,0.02097759,0.5963513,0.2381612,0.9050741,-0.3523068,-0.5471326,0.4247361,0.7212802,moving,-3.472732645524352,0.41033873006058785,-0.4996176829146648,-0.31091129293916825,-0.6015738,0.4545109,0.7776510000000001,-0.060571967568881946,0.007148550598046893,0.9981382362383084,-2.4101586695193804,0.41998333692946377,3.0591482145904103,3.0593486523393745,2.0455742033637705
05/15/2023 15:32:47.332379,200,True,True,True,True,Eyes,1.214743,-0.2552124,-3.404233,-0.593086,0.4288783,0.6814047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.065406,-1.25775,3.2388,1.214812,-0.260211,-3.415168,-0.2099222,-0.3085748,-0.05819579,0.9259198,334.871,322.83,1.378753,0.3355348,-0.07037197,-0.9393952,0,0,0,0.6169361,0.1918214,-2.637556,-0.006770045,-0.007121056,1.079987,0.8027897,0.02178412,0.5958642,0.2373227,0.9050918,-0.3528268,-0.5469978,0.4246578,0.7214286,moving,-3.4832867253526976,0.40202762572960576,-0.3591616610689266,-0.37778282680394765,-0.5978759,0.4520324,0.777612,-0.06075588814092986,0.007003685880273364,0.9981280655453375,-2.420659956062927,0.4124564172986035,3.2197735369142197,3.219978533960539,2.2077711120455725
05/15/2023 15:32:47.352124,201,True,True,True,True,Eyes,1.214701,-0.2552232,-3.40426,-0.5931352,0.4286569,0.6815012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.065461,-1.256904,3.239293,1.214998,-0.2600157,-3.41529,-0.2097742,-0.308664,-0.05774503,0.9259519,334.9044,322.8109,1.427557,0.3355057,-0.07037809,-0.9394052,0,0,0,0.6211022,0.1887474,-2.637578,-0.003251761,-0.008547872,1.0765,0.8027841,0.02256125,0.5958429,0.2364377,0.9053206,-0.352834,-0.5473892,0.4241293,0.7214426,moving,-3.46406598651431,0.423368874173466,-0.173071634574754,-0.45494351758496776,-0.5938958,0.4487631,0.7777120000000002,-0.060420886675593755,0.007375613532745212,0.9981457337365325,-2.4012192797348186,0.4320500616114378,3.4059509788995777,3.4061820976005497,2.398207567782237
05/15/2023 15:32:47.372395,202,True,True,True,True,Eyes,1.214694,-0.2552278,-3.404256,-0.593123,0.4284616,0.6816347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.064849,-1.259616,3.238248,1.215187,-0.2598097,-3.415056,-0.2101327,-0.3085634,-0.05809052,0.9258826,334.8515,322.8251,1.39951,0.3354781,-0.07038387,-0.9394146,0,0,0,0.6252486,0.1856879,-2.6376,-0.0005615354,-0.01146317,1.072754,0.8028284,0.02210848,0.5958002,0.2372485,0.9049395,-0.3532671,-0.5469733,0.4249655,0.7212659,moving,-3.473466497390381,0.3567606126498265,-0.02999159688861085,-0.6122244838763542,-0.5899384,0.44549759999999994,0.7774559999999999,-0.0605851326375057,0.006215169340759802,0.9981437338484933,-2.413588534639808,0.3691883858703012,3.5769875853412456,3.577212812746193,2.5777326437319386
05/15/2023 15:32:47.387976,203,True,True,True,True,Eyes,1.214679,-0.2552428,-3.404247,-0.5930862,0.4282486,0.6818004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063034,-1.259018,3.238869,1.215221,-0.2597108,-3.414855,-0.2100087,-0.3082077,-0.05892292,0.9259766,334.8337,322.893,1.2871,0.3354532,-0.0703892,-0.9394231,0,0,0,0.6291807,0.1827864,-2.637621,0.001232117,-0.01347789,1.069185,0.8030723,0.02033005,0.5955347,0.238575,0.9048489,-0.3526052,-0.5460375,0.4252472,0.7218088,moving,-3.5287777069780253,0.32137192085480576,0.06602699506281709,-0.7222186189058437,-0.5860403000000001,0.44249720000000003,0.777234,-0.061548892787665566,0.005598334207002842,0.9980883136893643,-2.4682070302572345,0.33748890351334077,3.7429819885788915,3.743220813750222,2.7468749749782346
05/15/2023 15:32:47.402482,204,True,True,True,True,Eyes,1.214707,-0.2552631,-3.404213,-0.5929669,0.4279455,0.6820945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059705,-1.256249,3.240851,1.215016,-0.2599675,-3.414734,-0.2096283,-0.3077418,-0.05890683,0.9262186,334.8759,322.9606,1.259532,0.3354304,-0.07039445,-0.9394308,0,0,0,0.6334243,0.1796552,-2.637644,0.003541976,-0.01415604,1.065445,0.8036499,0.01990158,0.5947695,0.238144,0.905172,-0.3520671,-0.5453753,0.4245794,0.7227019,moving,-3.5737438422896126,0.34500427240230597,0.19047396001650427,-0.7612158531097549,-0.5815917,0.43962270000000003,0.7770900000000003,-0.06233203524689368,0.006009715255177794,0.9980373756030592,-2.5099407924960673,0.36142260777692,3.9231286291172256,3.9233988618653357,2.9244754998887466
