,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
0,05/05/2023 09:29:52.248995,181,True,True,True,True,Eyes,1.288799,-0.2578394,-3.1935,-0.3162729,0.1287074,0.9398967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.234139,0.4675066,3.206618,1.30919,-0.2592111,-3.200452,0.03294549,-0.01183659,-0.001146661,0.9993865,3.774132,358.6371,359.8236,0.3731937,-0.07465687,-0.9247445,0,0,0,0.6849089,0.01644635,-1.277411,-0.5796,0.4008,1.915,0.9997172,-0.003071839,0.02358311,0.001511989,0.9978266,0.06587771,-0.02373422,-0.06582341,0.997549,moving,-17.449665232372947,11.459384097377123,-16.839131587459715,11.821088380307142,-0.6242811,0.27565745,1.923041,-0.294413138812465,0.1898676819742705,0.9366275224422832,-16.856507592708663,11.725188496737122,0.7107639921406101,0.7096346382899826,0.0974613422191325
1,05/05/2023 09:29:52.268832,182,True,True,True,True,Eyes,1.288799,-0.2578419,-3.193503,-0.3165253,0.1291042,0.9397573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.235551,0.4657373,3.20632,1.30917,-0.2591045,-3.200457,0.03274675,-0.01163021,-0.001294208,0.9993953,3.751186,358.6602,359.8077,0.3731941,-0.07465745,-0.9247443,0,0,0,0.6894788,0.01492056,-1.277343,-0.5758963,0.3982387,1.915,0.9997261,-0.003348554,0.02316159,0.001825147,0.997852,0.065484,-0.02333112,-0.06542379,0.9975848,moving,-17.491689365220644,11.457115397371366,-16.73756365018436,11.747651972810576,-0.6196912,0.27402506,1.923114,-0.2951046545185988,0.189788224069462,0.9364259798761662,-16.898054028556867,11.723282881744163,0.8072391976257697,0.8081566034791348,0.1623299545664747
2,05/05/2023 09:29:52.288971,183,True,True,True,True,Eyes,1.288805,-0.2578517,-3.193509,-0.3167563,0.129475,0.9396285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.237423,0.4654488,3.205577,1.309143,-0.2590761,-3.200407,0.03272379,-0.01133922,-0.001327038,0.9993993,3.748567,358.6935,359.8051,0.3731945,-0.07465802,-0.9247441,0,0,0,0.6943916,0.01242262,-1.27703,-0.572087,0.3956045,1.915,0.9997393,-0.003394607,0.02257796,0.001910358,0.9978548,0.06543835,-0.02275167,-0.06537816,0.9976012,moving,-17.541298235976303,11.477949132615583,-16.6329867217655,11.672084555829064,-0.6147514,0.2714987199999999,1.923377,-0.2958983483441738,0.1900798705537768,0.9361163696274036,-16.947634762183682,11.745047450746895,0.92283493270933,0.9288263397396712,0.3229968627924923
3,05/05/2023 09:29:52.299406,184,True,True,True,True,Eyes,1.288807,-0.2578558,-3.193514,-0.3169574,0.1298172,0.9395134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.239178,0.4651128,3.205025,1.3091,-0.259252,-3.200487,0.03256642,-0.01103665,-0.00112458,0.9994081,3.730842,358.729,359.8297,0.3731948,-0.07465881,-0.9247439,0,0,0,0.6991786,0.009961009,-1.276921,-0.5682768,0.3929698,1.915,0.9997538,-0.002966677,0.02198699,0.00152898,0.9978763,0.06511912,-0.02213348,-0.06506947,0.9976352,moving,-17.585268758423318,11.49025850541475,-16.528270876798913,11.596461582828274,-0.6099214,0.269213009,1.923566,-0.296607442707471,0.1902371548008005,0.935859913381266,-16.99144005469793,11.758050359164422,1.0501153217547428,1.0623199214034262,0.4905472658097923
4,05/05/2023 09:29:52.318974,185,True,True,True,True,Eyes,1.288826,-0.257861,-3.193518,-0.3171725,0.1301392,0.9393963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.240928,0.4661474,3.204155,1.309009,-0.2591128,-3.200494,0.03269179,-0.01073325,-0.000967724,0.9994074,3.745461,358.7644,359.8486,0.3731952,-0.07465962,-0.9247437,0,0,0,0.7040977,0.006677061,-1.276592,-0.5643185,0.3902327,1.915,0.9997677,-0.002636079,0.02139051,0.001232523,0.9978606,0.06536561,-0.02151705,-0.06532406,0.9976321,moving,-17.632888971504286,11.532072441591534,-16.419364377618212,11.517856050833128,-0.6049113,0.2657898609999999,1.923902,-0.2973477239321473,0.1908740676177183,0.9354952891223014,-17.039530375735794,11.801223793838584,1.192422085564306,1.2136078632460146,0.6818380621505238
5,05/05/2023 09:29:52.339252,186,True,True,True,True,Eyes,1.288839,-0.2578659,-3.193522,-0.3173863,0.1304307,0.9392837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.241945,0.4663293,3.2037,1.308955,-0.2591282,-3.20048,0.03261976,-0.01053833,-0.0007148118,0.9994121,3.737537,358.7878,359.8785,0.3731959,-0.07466048,-0.9247434,0,0,0,0.7086506,0.00384751,-1.276489,-0.560289,0.3874462,1.915,0.9997768,-0.002116299,0.02101763,0.0007412675,0.9978709,0.06521621,-0.0211109,-0.06518608,0.9976497,moving,-17.66473883887023,11.552378895833836,-16.308373469301973,11.437786651055577,-0.6003044000000001,0.26297571,1.923991,-0.2978499915645328,0.1911742627361786,0.9352742292013376,-17.071520113748164,11.82227590411432,1.331812683814023,1.3611974134295732,0.8545319108419264
6,05/05/2023 09:29:52.348879,187,True,True,True,True,Eyes,1.288831,-0.2578676,-3.193527,-0.3176197,0.1306851,0.9391693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.241302,0.4679173,3.203696,1.30885,-0.2591165,-3.200503,0.0327778,-0.01059625,-0.0004857416,0.9994065,3.755929,358.782,359.9044,0.3731969,-0.07466138,-0.9247429,0,0,0,0.712032,0.0003154278,-1.276602,-0.5564288,0.3847769,1.915,0.999775,-0.00166555,0.02114807,0.0002762633,0.9978508,0.06552698,-0.02121176,-0.0655064,0.9976267,moving,-17.67054500317484,11.594441779694986,-16.201927722472856,11.361042476098984,-0.5968180000000001,0.2594319278,1.923901,-0.297904265976008,0.1918573986061192,0.9351169072185456,-17.078225928306328,11.865294116657276,1.4484877875447564,1.487048066504775,1.0110233738903809
7,05/05/2023 09:29:52.368943,188,True,True,True,True,Eyes,1.288826,-0.2578701,-3.193525,-0.3178627,0.1309147,0.9390553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.238866,0.4688418,3.204505,1.308855,-0.2590325,-3.200508,0.03282129,-0.01094471,-0.00021083,0.9994014,3.761227,358.743,359.9345,0.3731975,-0.07466224,-0.9247426,0,0,0,0.7141562,-0.002580941,-1.277099,-0.5527986,0.3822665,1.915,0.9997603,-0.001139847,0.02186249,-0.0002970317,0.9978454,0.06560789,-0.02189016,-0.06559866,0.9976059,moving,-17.64173573044772,11.621876139858209,-16.10171929067198,11.288829065583585,-0.5946988000000001,0.256451559,1.923409,-0.297405672187122,0.1923364847516135,0.9351773917122828,-17.05033385555727,11.89303234741018,1.529624777367962,1.5756176530054602,1.1246916014990662
8,05/05/2023 09:29:52.388612,189,True,True,True,True,Eyes,1.288819,-0.2578733,-3.193519,-0.3181106,0.1311299,0.9389412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.237297,0.4701145,3.204749,1.308918,-0.2590559,-3.200305,0.03302989,-0.0112032,-0.0002466447,0.9993917,3.785079,358.7131,359.9292,0.3731979,-0.07466309,-0.9247423,0,0,0,0.7171909,-0.006082982,-1.277186,-0.5488575,0.3795412,1.915,0.9997488,-0.00123307,0.02237648,-0.0002470918,0.9978179,0.06602512,-0.02240907,-0.06601407,0.997567,moving,-17.63015856941446,11.65652723425768,-15.992814086869366,11.210392757009888,-0.5917271000000001,0.252972918,1.923119,-0.2971822110302684,0.1929160559594253,0.9351289271346654,-17.039663663657723,11.92831021782117,1.6422681052702568,1.6970365129572245,1.269369732174075
9,05/05/2023 09:29:52.398616,190,True,True,True,True,Eyes,1.288813,-0.2578843,-3.193513,-0.3183646,0.1313089,0.9388301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.236594,0.472133,3.204617,1.308903,-0.2590766,-3.200203,0.03341028,-0.01133037,-0.0004176318,0.9993774,3.828459,358.6978,359.9086,0.3731982,-0.07466396,-0.9247422,0,0,0,0.7206194,-0.01001889,-1.277126,-0.5450312,0.3768952,1.915,0.9997429,-0.001591845,0.02261872,7.764173e-05,0.9977672,0.06678843,-0.02267454,-0.0667695,0.9975107,moving,-17.63756356739153,11.70448237682542,-15.886967521830718,11.134198017966288,-0.5882835999999999,0.24905771,1.923077,-0.297256630648343,0.1936939706559549,0.9349444602143514,-17.048086374261793,11.977362205940386,1.7765551121806122,1.8411438739795785,1.4349644028173234
