Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
05/18/2023 11:23:49.316389,181,True,True,True,True,Eyes,1.091979,-0.3152341,-3.47684,-0.4732668,0.4563335,0.7535107,1.193361,0.5272013,0.2293363,-2.57763,0.3933942,-0.6184216,-0.6802909,-0.004752815,-0.10193,1.200613,1.107977,-0.3177966,-3.480531,-0.2808498,-0.2566079,-0.01605156,0.924672,328.1548,326.7679,7.743116,0.2984147,-0.08624783,-0.9505312,0,0,0,0.5212975,0.2386171,-2.567421,-0.003876805,-0.1003627,1.215513,0.8677896,0.1144516,0.4835723,0.1738214,0.8417315,-0.5111499,-0.4655401,0.5276257,0.7105517,moving,0.3397504720791653,-4.778963070550102,-0.18274079447171832,-4.720101409546897,-0.5866795,0.5564137,0.9131100000000001,0.005909116032778355,-0.08331051142792498,0.9965061681958167,0.3199410469634034,-4.888418273215557,0.5240068395391468,0.5257963662464802,0.5301128184677854
05/18/2023 11:23:49.326160,182,True,True,True,True,Eyes,1.092148,-0.3152029,-3.476842,-0.4732266,0.4563163,0.7535464,1.193415,0.5273925,0.2293719,-2.577549,0.4061572,-0.6160803,-0.6748937,-0.004544377,-0.1023684,1.20054,1.107916,-0.3178723,-3.480495,-0.281205,-0.2564761,-0.01559863,0.9246083,328.1289,326.76,7.809851,0.2984259,-0.08624095,-0.9505284,0,0,0,0.5253831,0.2356094,-2.567385,-0.0006591082,-0.1026721,1.211988,0.8679534,0.1153995,0.4830526,0.17309,0.8413609,-0.5120076,-0.465507,0.5280104,0.7102876,moving,0.34054074040690807,-4.807427056078351,-0.031158818717364235,-4.842181676180376,-0.5825328999999999,0.5534817,0.9131100000000001,0.005922614077894517,-0.08380555131721834,0.9964646053709645,0.32080503524833565,-4.916528546149925,0.37201732407876126,0.37332083503551533,0.3597304707314319
05/18/2023 11:23:49.356263,183,True,True,True,True,Eyes,1.092323,-0.3151755,-3.476837,-0.4730719,0.4562982,0.7536544,1.188381,0.5301329,0.2270806,-2.581208,0.05926791,-0.3789949,-0.9234989,-0.0047943,-0.1016124,1.195528,1.108148,-0.3178512,-3.480421,-0.2811353,-0.2562862,-0.01534787,0.9246863,328.1437,326.7796,7.830297,0.2984402,-0.08623379,-0.9505246,0,0,0,0.5292436,0.2327673,-2.567351,0.00177896,-0.1040762,1.20879,0.8681636,0.1157183,0.4825985,0.1724862,0.8414547,-0.5120571,-0.4653392,0.5277908,0.7105606,moving,0.33409145006227886,-4.79319505314178,0.08432136792675148,-4.921001227437238,-0.5789043999999999,0.5506185,0.9130700000000003,0.005810571426389133,-0.083558080967331,0.9964859802811906,0.3143804044052791,-4.902475450834838,0.27980640914330057,0.28056997722142196,0.2308037362439147
05/18/2023 11:23:49.366295,184,True,True,True,True,Eyes,1.092492,-0.3151536,-3.476825,-0.4729055,0.4562552,0.7537848,1.187382,0.5309726,0.2265954,-2.581795,-0.1538685,-0.2131837,-0.9648198,-0.005436361,-0.1004576,1.194577,1.108153,-0.3179493,-3.480388,-0.280773,-0.2558669,-0.01521834,0.9249147,328.1856,326.8429,7.813887,0.2984574,-0.08622649,-0.9505198,0,0,0,0.5332817,0.2297946,-2.567316,0.003915578,-0.1047747,1.205491,0.8686011,0.1155297,0.481856,0.1718324,0.8418699,-0.5115943,-0.4647644,0.5271697,0.7113973,moving,0.2966887832749593,-4.748728429819948,0.1861028450550126,-4.967353595594955,-0.5748713,0.5477439,0.9130720000000001,0.005160398403751237,-0.08278498602432607,0.9965540429628473,0.2772300952177925,-4.858573653680903,0.24485670047582814,0.2450024751755274,0.14190578383228206
05/18/2023 11:23:49.376591,185,True,True,True,True,Eyes,1.092654,-0.3151289,-3.476817,-0.4727131,0.4561277,0.7539827,1.189227,0.5304907,0.2273105,-2.58016,-0.5068877,0.07057327,-0.8591183,-0.005848289,-0.09965014,1.196396,1.108203,-0.3180555,-3.480245,-0.280417,-0.255559,-0.01511687,0.9251094,328.2267,326.892,7.798615,0.2984773,-0.08621923,-0.9505142,0,0,0,0.5380939,0.226252,-2.567274,0.006838769,-0.1058258,1.201485,0.8689222,0.1153566,0.4813181,0.1712957,0.8422756,-0.5111063,-0.464362,0.5265592,0.7121118,moving,0.2743444214983791,-4.7124304903331256,0.3261200675055653,-5.033574725675385,-0.5701091,0.5443074999999999,0.9129710000000002,0.004772009589417703,-0.08215379742412607,0.9966082715949451,0.25500853652992805,-4.822734005773667,0.32523441813641385,0.32529115790784446,0.22250990765890333
05/18/2023 11:23:49.401941,186,True,True,True,True,Eyes,1.092814,-0.3151033,-3.476808,-0.4725315,0.4559831,0.7541839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7479186,-1.696758,3.162816,1.10817,-0.3179546,-3.480322,-0.2798155,-0.2554103,-0.01506719,0.9253334,328.2953,326.9288,7.772044,0.2984992,-0.08621193,-0.9505079,0,0,0,0.5412941,0.223896,-2.567246,0.008973181,-0.1058836,1.198902,0.8690771,0.1150512,0.4811114,0.1708198,0.8429525,-0.5101486,-0.4642473,0.5255418,0.7129378,moving,0.2668205746051567,-4.651358814779221,0.42882220597188453,-5.047104432239438,-0.5668759000000001,0.5418506,0.9130760000000002,0.004641543926362984,-0.08109150994644349,0.9966958332819776,0.24738574189600532,-4.762423222526066,0.4273171275469665,0.4276203015578769,0.33758344399603885
05/18/2023 11:23:49.416388,187,True,True,True,True,Eyes,1.092983,-0.3150748,-3.476795,-0.4723957,0.4558428,0.7543538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7482564,-1.694581,3.163902,1.108279,-0.317903,-3.480291,-0.2794841,-0.255446,-0.015143,0.9254225,328.3305,326.9366,7.749213,0.2985231,-0.08620458,-0.9505011,0,0,0,0.5453555,0.2209061,-2.56721,0.01205719,-0.1070231,1.19554,0.8690361,0.1147588,0.4812554,0.1708135,0.8433186,-0.5095453,-0.4643265,0.5250182,0.713272,moving,0.2770620977020662,-4.625879818364437,0.5778164510523031,-5.115404383202129,-0.5629235,0.5388090999999999,0.9130809999999996,0.00481987558133401,-0.0806482128911023,0.9967309796638318,0.2574500181902777,-4.737257135642782,0.5737894367889611,0.5745324017308783,0.4956107264188791
05/18/2023 11:23:49.426191,188,True,True,True,True,Eyes,1.093147,-0.3150529,-3.476774,-0.4722795,0.4557208,0.7545003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7494377,-1.694688,3.163659,1.108273,-0.3178594,-3.480382,-0.2794873,-0.2555972,-0.01517133,0.9253793,328.3305,326.9172,7.751601,0.2985489,-0.08619709,-0.9504936,0,0,0,0.5495434,0.217823,-2.567174,0.01576057,-0.109054,1.192033,0.8688799,0.1147939,0.4815291,0.1709508,0.8433133,-0.5095081,-0.4645683,0.525019,0.7131138,moving,0.30315120293855774,-4.637204205359104,0.7574970915085327,-5.227194937402595,-0.5587296,0.5356824,0.913208,0.005273643144447587,-0.08084503052595313,0.9967127701099363,0.2833065424434132,-4.748432065521073,0.7433249411766786,0.7446604933509333,0.6738475824063795
05/18/2023 11:23:49.446166,189,True,True,True,True,Eyes,1.093318,-0.3150338,-3.476743,-0.4721859,0.4556172,0.7546214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7509272,-1.695732,3.162529,1.108313,-0.3179968,-3.48016,-0.2796746,-0.2558214,-0.01519803,0.9252603,328.3102,326.8822,7.765216,0.2985764,-0.08618969,-0.9504856,0,0,0,0.5534815,0.2149239,-2.567139,0.0193035,-0.1111185,1.188583,0.8686489,0.1149693,0.4819039,0.1712178,0.8431023,-0.5097676,-0.4649018,0.5253195,0.712675,moving,0.3376249544017195,-4.668907433343646,0.9304456264038526,-5.3409560402277085,-0.5548315000000001,0.5329207,0.9130210000000001,0.005873080214909482,-0.08139625045976795,0.9966645231834481,0.31752104133067677,-4.779729946137617,0.8941895491652032,0.8961504779711217,0.8310543157187413
05/18/2023 11:23:49.466216,190,True,True,True,True,Eyes,1.093485,-0.315019,-3.476709,-0.4721141,0.4554957,0.7547397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7532218,-1.694397,3.162626,1.108297,-0.318094,-3.480089,-0.2794968,-0.2561329,-0.01519342,0.9252279,328.3331,326.8458,7.769586,0.2986056,-0.08618247,-0.9504771,0,0,0,0.5575427,0.2119341,-2.567104,0.02322465,-0.1124531,1.185166,0.8683302,0.1150619,0.4824557,0.1712914,0.8433014,-0.5094134,-0.4654696,0.5249796,0.712555,moving,0.37870016598302747,-4.658993187691674,1.1226310366135175,-5.420216423619215,-0.5507543000000001,0.5300281,0.9129849999999999,0.006587678504206884,-0.08122343082465647,0.9966741833068553,0.3581503914677838,-4.769924891677102,1.0616951391860985,1.064374912891616,1.0036482119338712
