,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
0,05/15/2023 18:03:11.427313,182,True,True,True,True,Eyes,1.103957,-0.2414373,-3.463868,-0.4946384,0.450192,0.7434111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7628414,-1.290731,3.331125,1.101881,-0.245602,-3.474168,-0.2116556,-0.2544783,-0.02597457,0.9432753,335.6368,329.0061,3.695937,0.3027324,-0.06630442,-0.9507661,0,0,0,0.5307857,0.3242324,-2.645161,-0.05578619,0.1084428,1.150323,0.8691322,0.05872119,0.4910815,0.1567259,0.9090545,-0.386079,-0.4690909,0.4125189,0.7808854,moving,-33.63833,31.1981,-2.776448,5.385453
1,05/15/2023 18:03:11.437684,183,True,True,True,True,Eyes,1.104054,-0.241414,-3.463821,-0.4951686,0.4519145,0.7420117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7608569,-1.29321,3.330555,1.101878,-0.2455353,-3.474114,-0.2120216,-0.2542841,-0.02550535,0.9432582,335.6095,329.0129,3.759151,0.3027581,-0.06630041,-0.9507582,0,0,0,0.5350398,0.3209676,-2.645238,-0.05238503,0.1056548,1.146891,0.8693782,0.05971117,0.4905264,0.1559437,0.9087927,-0.3870109,-0.4688957,0.4129533,0.7807729,moving,-33.71648,31.34307,-2.615206,5.263389
2,05/15/2023 18:03:11.457119,184,True,True,True,True,Eyes,1.104157,-0.2413918,-3.463765,-0.4957036,0.4535791,0.7406375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7598891,-1.295756,3.329735,1.102001,-0.2455074,-3.474028,-0.2123882,-0.2541943,-0.02538705,0.9432032,335.5715,329.0148,3.783883,0.3027841,-0.0662962,-0.9507502,0,0,0,0.5389144,0.3179939,-2.645308,-0.04941601,0.1028404,1.143835,0.8694816,0.06008539,0.4902974,0.155866,0.9084935,-0.3877438,-0.4687298,0.4135568,0.7805531,moving,-33.79412,31.48402,-2.473757,5.137559
3,05/15/2023 18:03:11.467971,185,True,True,True,True,Eyes,1.104262,-0.2413678,-3.463711,-0.4962049,0.4551391,0.7393438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7583693,-1.293099,3.330987,1.102,-0.2455234,-3.473905,-0.2120119,-0.2539866,-0.02540602,0.9433432,335.6125,329.0486,3.762339,0.3028105,-0.06629185,-0.9507421,0,0,0,0.5428928,0.3149407,-2.64538,-0.04680607,0.101625,1.140463,0.8696907,0.05976319,0.4899658,0.1556296,0.908811,-0.3870944,-0.4684203,0.4129056,0.7810836,moving,-33.86723,31.6164,-2.350174,5.092095
4,05/15/2023 18:03:11.487443,186,True,True,True,True,Eyes,1.104368,-0.2413429,-3.463652,-0.4966707,0.4566545,0.7380955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7552994,-1.290372,3.332766,1.102126,-0.2454518,-3.473894,-0.2116219,-0.2536397,-0.02498541,0.9435353,335.6682,329.0901,3.788347,0.3028374,-0.06628732,-0.9507339,0,0,0,0.5467461,0.3119833,-2.64545,-0.04438585,0.1006693,1.137276,0.8700853,0.0602022,0.4892109,0.1545007,0.9091837,-0.3866709,-0.4680611,0.4120201,0.7817661,moving,-33.93694,31.74478,-2.235018,5.058522
5,05/15/2023 18:03:11.507497,187,True,True,True,True,Eyes,1.104479,-0.2412903,-3.463599,-0.4970616,0.4581378,0.7369121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7525507,-1.291106,3.332977,1.102295,-0.2454097,-3.473722,-0.2117392,-0.2533528,-0.02460432,0.943596,335.6657,329.1154,3.829648,0.3028646,-0.0662826,-0.9507256,0,0,0,0.5507413,0.3089172,-2.645522,-0.04173341,0.09854776,1.133998,0.870414,0.06085637,0.4885449,0.1537225,0.9091223,-0.3871253,-0.4677061,0.4120596,0.7819577,moving,-34.00043,31.86919,-2.10765,4.966695
6,05/15/2023 18:03:11.527380,188,True,True,True,True,Eyes,1.104564,-0.2412519,-3.463544,-0.4973486,0.4596221,0.7357934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7525536,-1.291222,3.333017,1.102525,-0.2446593,-3.473784,-0.2115728,-0.2531353,-0.02627468,0.9436467,335.6316,329.1856,3.6207,0.3028924,-0.06627695,-0.9507171,0,0,0,0.5547826,0.3058156,-2.645596,-0.04025766,0.09492218,1.130623,0.8704644,0.05752502,0.4888585,0.1567011,0.9090931,-0.3859978,-0.4666224,0.412602,0.782319,moving,-34.05614,31.99145,-2.039247,4.799048
7,05/15/2023 18:03:11.537384,189,True,True,True,True,Eyes,1.104639,-0.2412278,-3.463491,-0.4975985,0.4610396,0.7347369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746142,-1.297076,3.331853,1.102263,-0.2449486,-3.473527,-0.212433,-0.2521862,-0.02671582,0.9436953,335.5173,329.3011,3.573339,0.30292,-0.06627085,-0.9507087,0,0,0,0.5589134,0.3026453,-2.64567,-0.03896683,0.0910047,1.127225,0.8713768,0.05672215,0.4873244,0.1575685,0.908317,-0.3874692,-0.4646231,0.4144187,0.7825487,moving,-34.10771,32.10783,-1.979859,4.615673
8,05/15/2023 18:03:11.557454,190,True,True,True,True,Eyes,1.104715,-0.241214,-3.463433,-0.4978978,0.4622746,0.7337574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7435846,-1.29607,3.332778,1.10212,-0.2452613,-3.473515,-0.2123263,-0.2518155,-0.0267222,0.943818,335.5277,329.3504,3.558546,0.3029471,-0.06626476,-0.9507005,0,0,0,0.5629407,0.2995545,-2.645743,-0.0363892,0.08943447,1.12402,0.8717498,0.05649231,0.4866836,0.1573759,0.9084069,-0.3873367,-0.4639882,0.4142529,0.783013,moving,-34.15921,32.21135,-1.854255,4.549247
9,05/15/2023 18:03:11.577081,191,True,True,True,True,Eyes,1.104799,-0.2411949,-3.463379,-0.4981523,0.4633993,0.7328747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7424519,-1.286062,3.336761,1.10227,-0.2454668,-3.473314,-0.2109473,-0.2517464,-0.02623465,0.9441595,335.6981,329.3727,3.565004,0.3029738,-0.06625896,-0.9506924,0,0,0,0.5668091,0.2965856,-2.645813,-0.03360009,0.09097427,1.120666,0.8718711,0.05667106,0.4864457,0.1557498,0.9096259,-0.3851268,-0.4643092,0.4115447,0.78425,moving,-34.20488,32.30532,-1.717342,4.641024
10,05/15/2023 18:03:11.588384,192,True,True,True,True,Eyes,1.104863,-0.2411766,-3.463333,-0.4983656,0.4644563,0.7320602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7378286,-1.280173,3.340173,1.102533,-0.245302,-3.473361,-0.210067,-0.251145,-0.02615766,0.9445179,335.7975,329.4632,3.526386,0.3030005,-0.06625327,-0.9506843,0,0,0,0.5708973,0.293448,-2.645887,-0.0319536,0.09061021,1.117305,0.872484,0.05610175,0.4854115,0.1549273,0.9103754,-0.3836852,-0.463432,0.4099627,0.7855962,moving,-34.24591,32.39312,-1.638145,4.636376
